"Terms","Rank","ASIN/ISBN","Rank Type","Date/time Collected","tracking"
"Old Order Mennonite","166","1601427670","search","2015-07-17 17:46:37.677278","yes"
"Old Order Mennonite","170","1400073987","search","2015-07-17 17:46:37.677278","yes"
"Old Order Mennonite","203","1400072948","search","2015-07-17 17:46:37.677278","yes"
"Old Order Mennonite","221","1400073979","search","2015-07-17 17:46:37.677278","yes"
"Englischer","19","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"Englischer","30","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"Englischer","54","B00N6PBH6C","search","2015-07-17 17:46:37.677278","yes"
"Englischer","85","B00G1IV9T6","search","2015-07-17 17:46:37.677278","yes"
"Englischer","102","B00540NW8S","search","2015-07-17 17:46:37.677278","yes"
"Englischer","114","B002KJA964","search","2015-07-17 17:46:37.677278","yes"
"Englischer","123","B0019O6J2E","search","2015-07-17 17:46:37.677278","yes"
"Englischer","140","B002PMW112","search","2015-07-17 17:46:37.677278","yes"
"positive genius","2","0770436730","search","2015-07-17 17:46:37.677278","yes"
"remote business","3","B00C0ALZ0W","search","2015-07-17 17:46:37.677278","yes"
"work from home careers","82","0307951529","search","2015-07-17 17:46:37.677278","no"
"work from home careers","173","0804137501","search","2015-07-17 17:46:37.677278","yes"
"career plans","40","0307888908","search","2015-07-17 17:46:37.677278","yes"
"making connections","299","B00H6JBFOS","search","2015-07-17 17:46:37.677278","yes"
"career advice","1","0553446967","search","2015-07-17 17:46:37.677278","no"
"career advice","48","0767927419","search","2015-07-17 17:46:37.677278","no"
"unleash genius","24","B00ALBR6LO","search","2015-07-17 17:46:37.677278","yes"
"telecommute","13","B00C0ALZ0W","search","2015-07-17 17:46:37.677278","yes"
"job for tomorrow","15","B0050DIWHU","search","2015-07-17 17:46:37.677278","yes"
"job for tomorrow","68","0804140782","search","2015-07-17 17:46:37.677278","no"
"job for tomorrow","237","0767926129","search","2015-07-17 17:46:37.677278","no"
"job for tomorrow","247","0385346654","search","2015-07-17 17:46:37.677278","yes"
"minimalism","4","0804137382","search","2015-07-17 17:46:37.677278","yes"
"philosophy of creativity","96","B00ALBR6LO","search","2015-07-17 17:46:37.677278","yes"
"lifeline relationships","16","B0020HRVG2","search","2015-07-17 17:46:37.677278","yes"
"essentialist","1","0804137382","search","2015-07-17 17:46:37.677278","yes"
"soft skills","171","B00GL3PZ0K","search","2015-07-17 17:46:37.677278","yes"
"soft skills","236","0804140782","search","2015-07-17 17:46:37.677278","no"
"personalized data","27","B00M60PIXQ","search","2015-07-17 17:46:37.677278","yes"
"working remotely","10","B00C0ALZ0W","search","2015-07-17 17:46:37.677278","yes"
"working remotely","134","1400082471","search","2015-07-17 17:46:37.677278","no"
"professional success","29","0385346654","search","2015-07-17 17:46:37.677278","yes"
"professional success","249","B00N6PESWC","search","2015-07-17 17:46:37.677278","yes"
"power of relationships","242","B00H6JBFOS","search","2015-07-17 17:46:37.677278","yes"
"finding happiness","159","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"living a good life","24","0804141444","search","2015-07-17 17:46:37.677278","yes"
"startup","1","0804139296","search","2015-07-17 17:46:37.677278","no"
"startup","4","0307887898","search","2015-07-17 17:46:37.677278","no"
"startup","6","0307951529","search","2015-07-17 17:46:37.677278","no"
"startup","17","0307888908","search","2015-07-17 17:46:37.677278","yes"
"startup","180","0307463745","search","2015-07-17 17:46:37.677278","no"
"achieve more","9","0307716902","search","2015-07-17 17:46:37.677278","no"
"achieve more","50","B00G1J1D28","search","2015-07-17 17:46:37.677278","yes"
"under one roof","64","B00C0ALZ0W","search","2015-07-17 17:46:37.677278","yes"
"under one roof","132","0385528752","search","2015-07-17 17:46:37.677278","no"
"under one roof","182","0385346654","search","2015-07-17 17:46:37.677278","yes"
"corporate sparring","1","0385521332","search","2015-07-17 17:46:37.677278","yes"
"success formula","106","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"success formula","271","0307591549","search","2015-07-17 17:46:37.677278","no"
"startup success","4","0307888908","search","2015-07-17 17:46:37.677278","yes"
"startup success","41","0307887898","search","2015-07-17 17:46:37.677278","no"
"startup success","278","0385512481","search","2015-07-17 17:46:37.677278","no"
"making friends","288","0307720217","search","2015-07-17 17:46:37.677278","no"
"AEI","31","B00GL3PZ0K","search","2015-07-17 17:46:37.677278","yes"
"business relationships","122","0385346654","search","2015-07-17 17:46:37.677278","yes"
"business relationships","232","0385512058","search","2015-07-17 17:46:37.677278","no"
"performance anxiety","22","0804136726","search","2015-07-17 17:46:37.677278","yes"
"business inspiration","134","B0050DIWHU","search","2015-07-17 17:46:37.677278","yes"
"business inspiration","250","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"business inspiration","261","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"productivity tools","24","B00G1J1D28","search","2015-07-17 17:46:37.677278","yes"
"face pressure","4","0804136726","search","2015-07-17 17:46:37.677278","yes"
"vital few","9","0804137382","search","2015-07-17 17:46:37.677278","yes"
"BNB","36","B00N6PBH6C","search","2015-07-17 17:46:37.677278","yes"
"digital future","181","0385347596","search","2015-07-17 17:46:37.677278","yes"
"creative","2","038534936X","search","2015-07-17 17:46:37.677278","no"
"work at home jobs","115","0307951529","search","2015-07-17 17:46:37.677278","no"
"work at home jobs","230","B002OK2ON0","search","2015-07-17 17:46:37.677278","no"
"unlock potential","106","B00ALBR6LO","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","15","1601426992","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","18","0307729982","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","25","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","31","0307446557","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","33","1400073960","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","53","0307730042","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","54","0307730069","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","64","B00N6PBH6C","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","67","B00N6PBH6C","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","74","B0019O6J2E","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","87","0307446530","search","2015-07-17 17:46:37.677278","yes"
"Old Order Amish","217","1601427670","search","2015-07-17 17:46:37.677278","yes"
"innovation","18","0307887898","search","2015-07-17 17:46:37.677278","no"
"innovation","23","B000JMKN9C","search","2015-07-17 17:46:37.677278","no"
"innovation","29","0385512074","search","2015-07-17 17:46:37.677278","no"
"innovation","103","0804139296","search","2015-07-17 17:46:37.677278","no"
"innovation","266","038534936X","search","2015-07-17 17:46:37.677278","no"
"success under pressure","1","0804136726","search","2015-07-17 17:46:37.677278","yes"
"rethink","143","B00ALBR6LO","search","2015-07-17 17:46:37.677278","yes"
"unlocking your creativity","14","0770434002","search","2015-07-17 17:46:37.677278","yes"
"buggy fiction","28","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"buggy fiction","37","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"buggy fiction","41","B00N6PBH6C","search","2015-07-17 17:46:37.677278","yes"
"buggy fiction","50","B00G1IV9T6","search","2015-07-17 17:46:37.677278","yes"
"buggy fiction","85","B00540NW8S","search","2015-07-17 17:46:37.677278","yes"
"buggy fiction","91","B002KJA964","search","2015-07-17 17:46:37.677278","yes"
"buggy fiction","101","B0019O6J2E","search","2015-07-17 17:46:37.677278","yes"
"buggy fiction","119","B002PMW112","search","2015-07-17 17:46:37.677278","yes"
"37 signals","2","0804137501","search","2015-07-17 17:46:37.677278","yes"
"37 signals","4","0307463745","search","2015-07-17 17:46:37.677278","no"
"bad boss","275","0767922859","search","2015-07-17 17:46:37.677278","no"
"co-working space","8","0804137501","search","2015-07-17 17:46:37.677278","yes"
"co-working space","12","0307951529","search","2015-07-17 17:46:37.677278","no"
"career growth","36","0553446967","search","2015-07-17 17:46:37.677278","no"
"career growth","67","0307888908","search","2015-07-17 17:46:37.677278","yes"
"business","15","0307951529","search","2015-07-17 17:46:37.677278","no"
"business","20","0804139296","search","2015-07-17 17:46:37.677278","no"
"business","38","0307887898","search","2015-07-17 17:46:37.677278","no"
"online reputation management","19","0385347596","search","2015-07-17 17:46:37.677278","yes"
"callaboration","6","0804137501","search","2015-07-17 17:46:37.677278","yes"
"building relationships","149","B00H6JBFOS","search","2015-07-17 17:46:37.677278","yes"
"how to be more productive at work","16","B00G1J1D28","search","2015-07-17 17:46:37.677278","yes"
"Women%27s Religious Fiction","234","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"personal branding","175","B0050DIWHU","search","2015-07-17 17:46:37.677278","yes"
"science of happiness","44","0307591549","search","2015-07-17 17:46:37.677278","no"
"science of happiness","60","0770436730","search","2015-07-17 17:46:37.677278","yes"
"fullest potential","37","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"fullest potential","157","0307591549","search","2015-07-17 17:46:37.677278","no"
"fullest potential","161","0307591549","search","2015-07-17 17:46:37.677278","no"
"clean reads","152","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"clean reads","163","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"networking","36","0385512058","search","2015-07-17 17:46:37.677278","no"
"networking","39","0385346654","search","2015-07-17 17:46:37.677278","yes"
"full potential","184","B00ALBR6LO","search","2015-07-17 17:46:37.677278","yes"
"increased productivity","34","B00G1J1D28","search","2015-07-17 17:46:37.677278","yes"
"college graduation gifts","235","0804141444","search","2015-07-17 17:46:37.677278","yes"
"work at home","238","B002OK2ON0","search","2015-07-17 17:46:37.677278","no"
"connecting to people","128","B00H6JBFOS","search","2015-07-17 17:46:37.677278","yes"
"connecting to people","262","038551624X","search","2015-07-17 17:46:37.677278","no"
"connecting to people","276","0804139296","search","2015-07-17 17:46:37.677278","no"
"virtual workspace","6","B00C0ALZ0W","search","2015-07-17 17:46:37.677278","yes"
"overcoming obstacles","55","B00N6PESWC","search","2015-07-17 17:46:37.677278","yes"
"positive psychology","19","0307591549","search","2015-07-17 17:46:37.677278","no"
"getting ahead","1","0804141444","search","2015-07-17 17:46:37.677278","yes"
"getting ahead","8","0307351130","search","2015-07-17 17:46:37.677278","no"
"getting ahead","118","B00H6JBFOS","search","2015-07-17 17:46:37.677278","yes"
"essential","7","0804137382","search","2015-07-17 17:46:37.677278","yes"
"digital footprint","3","0385347596","search","2015-07-17 17:46:37.677278","yes"
"sparring","57","B0020HRVG2","search","2015-07-17 17:46:37.677278","yes"
"bonnet romance","18","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"bonnet romance","31","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"bonnet romance","32","1400073960","search","2015-07-17 17:46:37.677278","yes"
"bonnet romance","59","0307446557","search","2015-07-17 17:46:37.677278","yes"
"bonnet romance","69","0307446530","search","2015-07-17 17:46:37.677278","yes"
"bonnet romance","77","B00N6PBH6C","search","2015-07-17 17:46:37.677278","yes"
"bonnet romance","83","B00G1IV9T6","search","2015-07-17 17:46:37.677278","yes"
"bonnet romance","92","B0019O6J2E","search","2015-07-17 17:46:37.677278","yes"
"less is more","26","0385347022","search","2015-07-17 17:46:37.677278","no"
"amish fiction","190","0307730026","search","2015-07-17 17:46:37.677278","yes"
"amish fiction","269","B00SPW377S","search","2015-07-17 17:46:37.677278","yes"
"amish fiction","302","0307729982","search","2015-07-17 17:46:37.677278","yes"
"American Enterprise Institute","88","0804141444","search","2015-07-17 17:46:37.677278","yes"
"positive inception","2","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"formula for success","148","0770436730","search","2015-07-17 17:46:37.677278","yes"
"formula for success","274","0307591549","search","2015-07-17 17:46:37.677278","no"
"self-improvement","235","0804136726","search","2015-07-17 17:46:37.677278","yes"
"trivial many","4","0804137382","search","2015-07-17 17:46:37.677278","yes"
"rediscover creativity","2","B00ALBR6LO","search","2015-07-17 17:46:37.677278","yes"
"digital privacy","43","0385347596","search","2015-07-17 17:46:37.677278","yes"
"apple orchard","35","0307730026","search","2015-07-17 17:46:37.677278","yes"
"apple orchard","50","0307729982","search","2015-07-17 17:46:37.677278","yes"
"apple orchard","60","0307730042","search","2015-07-17 17:46:37.677278","yes"
"apple orchard","181","0307730069","search","2015-07-17 17:46:37.677278","yes"
"nerves of steel","15","B00N6PESWC","search","2015-07-17 17:46:37.677278","yes"
"nerves of steel","102","140008198X","search","2015-07-17 17:46:37.677278","no"
"privacy advocate","11","B00M60PIXQ","search","2015-07-17 17:46:37.677278","yes"
"time management tools","132","0804137382","search","2015-07-17 17:46:37.677278","yes"
"social media privacy","206","0385347596","search","2015-07-17 17:46:37.677278","yes"
"corporate ladder","29","B00H6JBFOS","search","2015-07-17 17:46:37.677278","yes"
"office manners","6","B00GL3PZ0K","search","2015-07-17 17:46:37.677278","yes"
"increase productivity","124","B00G1J1D28","search","2015-07-17 17:46:37.677278","yes"
"what really matters","217","0804137382","search","2015-07-17 17:46:37.677278","yes"
"what really matters","245","030745178X","search","2015-07-17 17:46:37.677278","no"
"disruptive innovation","47","0385512074","search","2015-07-17 17:46:37.677278","no"
"disruptive innovation","49","0307887898","search","2015-07-17 17:46:37.677278","no"
"disruptive innovation","50","0307336697","search","2015-07-17 17:46:37.677278","no"
"disruptive innovation","75","B00ALBR6LO","search","2015-07-17 17:46:37.677278","yes"
"building trust","130","B0020HRVG2","search","2015-07-17 17:46:37.677278","yes"
"unlock your potential","207","0770434002","search","2015-07-17 17:46:37.677278","yes"
"creativity","17","038534936X","search","2015-07-17 17:46:37.677278","no"
"creativity","148","0804139296","search","2015-07-17 17:46:37.677278","no"
"Englischer fiction","5","0307731332","search","2015-07-17 17:46:37.677278","yes"
"Englischer fiction","6","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"Englischer fiction","7","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"Englischer fiction","12","B00G1IV9T6","search","2015-07-17 17:46:37.677278","yes"
"Englischer fiction","15","B00540NW8S","search","2015-07-17 17:46:37.677278","yes"
"Englischer fiction","16","B002KJA964","search","2015-07-17 17:46:37.677278","yes"
"Englischer fiction","19","B0019O6J2E","search","2015-07-17 17:46:37.677278","yes"
"Englischer fiction","20","B002PMW112","search","2015-07-17 17:46:37.677278","yes"
"plain fiction","208","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"plain fiction","226","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"achieving success","13","0770436730","search","2015-07-17 17:46:37.677278","yes"
"pressure management","90","B00N6PESWC","search","2015-07-17 17:46:37.677278","yes"
"leadership","122","0385523866","search","2015-07-17 17:46:37.677278","no"
"leadership","195","0804141231","search","2015-07-17 17:46:37.677278","no"
"reputation economics","1","0385347596","search","2015-07-17 17:46:37.677278","yes"
"work from home opportunities","50","0804137501","search","2015-07-17 17:46:37.677278","yes"
"handling pressure","1","0804136726","search","2015-07-17 17:46:37.677278","yes"
"performance under pressure","1","0804136726","search","2015-07-17 17:46:37.677278","yes"
"after happiness","37","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"creative genius","22","0770434002","search","2015-07-17 17:46:37.677278","yes"
"creative genius","289","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"building deep relationships","3","0385521332","search","2015-07-17 17:46:37.677278","yes"
"building deep relationships","132","0307589137","search","2015-07-17 17:46:37.677278","no"
"mental focus","139","B00G1J1D28","search","2015-07-17 17:46:37.677278","yes"
"handling stress","15","B00N6PESWC","search","2015-07-17 17:46:37.677278","yes"
"handling stress","137","0307591549","search","2015-07-17 17:46:37.677278","no"
"unleash creativity","32","B00ALBR6LO","search","2015-07-17 17:46:37.677278","yes"
"unleash creativity","124","038534936X","search","2015-07-17 17:46:37.677278","no"
"connecting to the world","126","0385346654","search","2015-07-17 17:46:37.677278","yes"
"millenial privacy","1","0385347596","search","2015-07-17 17:46:37.677278","yes"
"buggy","298","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"trusted team","45","B0020HRVG2","search","2015-07-17 17:46:37.677278","yes"
"online privacy issues","44","0385347596","search","2015-07-17 17:46:37.677278","yes"
"achieving potential","21","B00ALBR6LO","search","2015-07-17 17:46:37.677278","yes"
"achieving potential","23","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"existential intelligence","10","B0020HRVG2","search","2015-07-17 17:46:37.677278","yes"
"success accelerants","1","0770436730","search","2015-07-17 17:46:37.677278","yes"
"real estate footprint","2","B00C0ALZ0W","search","2015-07-17 17:46:37.677278","yes"
"IHHP","2","0804136726","search","2015-07-17 17:46:37.677278","yes"
"invest in yourself","4","0307888908","search","2015-07-17 17:46:37.677278","yes"
"invest in yourself","26","0385522614","search","2015-07-17 17:46:37.677278","no"
"online reputation","14","0385347596","search","2015-07-17 17:46:37.677278","yes"
"know yourself","259","B00ALBR6LO","search","2015-07-17 17:46:37.677278","yes"
"Contemporary Religious Fiction","284","0307731332","search","2015-07-17 17:46:37.677278","yes"
"Kapp","55","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"Kapp","79","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"Kapp","128","B00N6PBH6C","search","2015-07-17 17:46:37.677278","yes"
"Kapp","153","B00G1IV9T6","search","2015-07-17 17:46:37.677278","yes"
"Mennonite fiction","111","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"Mennonite fiction","122","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"Mennonite fiction","231","0307731316","search","2015-07-17 17:46:37.677278","yes"
"Mennonite fiction","262","B00N6PBH6C","search","2015-07-17 17:46:37.677278","yes"
"digital reputation","1","0385347596","search","2015-07-17 17:46:37.677278","yes"
"career advancement","14","0553446967","search","2015-07-17 17:46:37.677278","no"
"career advancement","25","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"career advancement","41","B00GL3PZ0K","search","2015-07-17 17:46:37.677278","yes"
"meaningful relationships","22","0385346654","search","2015-07-17 17:46:37.677278","yes"
"meaningful relationships","75","0385521332","search","2015-07-17 17:46:37.677278","yes"
"pressure solutions","241","B00N6PESWC","search","2015-07-17 17:46:37.677278","yes"
"building relationships at work","19","0385521332","search","2015-07-17 17:46:37.677278","yes"
"building relationships at work","296","0385347618","search","2015-07-17 17:46:37.677278","no"
"personal data protection","47","0385347596","search","2015-07-17 17:46:37.677278","yes"
"meaningful connections","16","B00H6JBFOS","search","2015-07-17 17:46:37.677278","yes"
"meaningful connections","80","0385529066","search","2015-07-17 17:46:37.677278","no"
"meaningful connections","137","0307888908","search","2015-07-17 17:46:37.677278","yes"
"meaningful connections","154","0770436730","search","2015-07-17 17:46:37.677278","yes"
"meaningful connections","286","030746170X","search","2015-07-17 17:46:37.677278","no"
"reputation management","19","0385347596","search","2015-07-17 17:46:37.677278","yes"
"effective time management","109","0804137382","search","2015-07-17 17:46:37.677278","yes"
"career development","164","0553446967","search","2015-07-17 17:46:37.677278","no"
"career development","166","0767927419","search","2015-07-17 17:46:37.677278","no"
"intelligent risk","26","B0050DIWHU","search","2015-07-17 17:46:37.677278","yes"
"personal brand","34","038552627X","search","2015-07-17 17:46:37.677278","no"
"personal brand","106","B0050DIWHU","search","2015-07-17 17:46:37.677278","yes"
"mental clairty","3","0804137382","search","2015-07-17 17:46:37.677278","yes"
"Amish recipes","32","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"Amish recipes","41","0307729982","search","2015-07-17 17:46:37.677278","yes"
"Amish recipes","124","0307730042","search","2015-07-17 17:46:37.677278","yes"
"Amish recipes","127","B00540NW8S","search","2015-07-17 17:46:37.677278","yes"
"Amish recipes","132","B00540NW8S","search","2015-07-17 17:46:37.677278","yes"
"Amish cooking","20","0307729982","search","2015-07-17 17:46:37.677278","yes"
"Amish cooking","37","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"Amish cooking","110","0307446557","search","2015-07-17 17:46:37.677278","yes"
"bonnet fiction","11","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"bonnet fiction","13","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"bonnet fiction","30","B00N6PBH6C","search","2015-07-17 17:46:37.677278","yes"
"bonnet fiction","35","B00N6PBH6C","search","2015-07-17 17:46:37.677278","yes"
"bonnet fiction","48","B00G1IV9T6","search","2015-07-17 17:46:37.677278","yes"
"bonnet fiction","81","B002KJA964","search","2015-07-17 17:46:37.677278","yes"
"bonnet fiction","88","B0019O6J2E","search","2015-07-17 17:46:37.677278","yes"
"bonnet fiction","99","B00540NW8S","search","2015-07-17 17:46:37.677278","yes"
"bonnet fiction","102","B002PMW112","search","2015-07-17 17:46:37.677278","yes"
"work from home jobs","115","0307951529","search","2015-07-17 17:46:37.677278","no"
"add value","26","B0050DIWHU","search","2015-07-17 17:46:37.677278","yes"
"being more productive","17","0804137382","search","2015-07-17 17:46:37.677278","yes"
"personal improvement","223","B00N6PESWC","search","2015-07-17 17:46:37.677278","yes"
"college graduation books","116","0804141444","search","2015-07-17 17:46:37.677278","yes"
"plain romance","131","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"plain romance","306","1400073960","search","2015-07-17 17:46:37.677278","yes"
"relationship building","150","B00H6JBFOS","search","2015-07-17 17:46:37.677278","yes"
"digital privacy issues","3","0385347596","search","2015-07-17 17:46:37.677278","yes"
"business classics","206","B00H6JBFOS","search","2015-07-17 17:46:37.677278","yes"
"positive inspiration","81","0770436730","search","2015-07-17 17:46:37.677278","yes"
"transform your career","2","0307888908","search","2015-07-17 17:46:37.677278","yes"
"change your thinking","256","0770436730","search","2015-07-17 17:46:37.677278","yes"
"change your thinking","257","0770436730","search","2015-07-17 17:46:37.677278","yes"
"professional relationships","26","0385346654","search","2015-07-17 17:46:37.677278","yes"
"online presense","2","B00M60PIXQ","search","2015-07-17 17:46:37.677278","yes"
"unlock your creativity","36","0770434002","search","2015-07-17 17:46:37.677278","yes"
"less but better","20","0804137382","search","2015-07-17 17:46:37.677278","yes"
"less but better","50","0307339459","search","2015-07-17 17:46:37.677278","no"
"professional inspiration","142","B0050DIWHU","search","2015-07-17 17:46:37.677278","yes"
"professional inspiration","223","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"getting what you want","124","0804141444","search","2015-07-17 17:46:37.677278","yes"
"getting what you want","228","0307716902","search","2015-07-17 17:46:37.677278","no"
"getting what you want","254","0385346654","search","2015-07-17 17:46:37.677278","yes"
"widowhood","166","1400073960","search","2015-07-17 17:46:37.677278","yes"
"shunning","114","1400072921","search","2015-07-17 17:46:37.677278","yes"
"time management skills","284","B00G1J1D28","search","2015-07-17 17:46:37.677278","yes"
"remote jobs","2","0804137501","search","2015-07-17 17:46:37.677278","yes"
"bonnet","187","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"bonnet","244","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"switched at birth","85","B00RKO6OXG","search","2015-07-17 17:46:37.677278","yes"
"brand reputation","4","0385347596","search","2015-07-17 17:46:37.677278","yes"
"decisions under pressure","1","0804136726","search","2015-07-17 17:46:37.677278","yes"
"decisions under pressure","94","0804137757","search","2015-07-17 17:46:37.677278","no"
"decisions under pressure","220","0307460266","search","2015-07-17 17:46:37.677278","no"
"decisions under pressure","246","0307460266","search","2015-07-17 17:46:37.677278","no"
"increasing productivity","45","B00G1J1D28","search","2015-07-17 17:46:37.677278","yes"
"increasing productivity","135","0307887898","search","2015-07-17 17:46:37.677278","no"
"increasing productivity","166","038534645X","search","2015-07-17 17:46:37.677278","no"
"increasing productivity","180","0307719227","search","2015-07-17 17:46:37.677278","no"
"decision-making","165","0307956393","search","2015-07-17 17:46:37.677278","no"
"how to be more produtive","1","0804137382","search","2015-07-17 17:46:37.677278","yes"
"entrepreneurship","2","0307951529","search","2015-07-17 17:46:37.677278","no"
"entrepreneurship","6","0804139296","search","2015-07-17 17:46:37.677278","no"
